,Ticker,Close,Adj Close,Volume,Max,min,max drop,YTD,1d,1mo,1wk
SPYD,SPYD,42.72,42.72,1908757.0,44.20,38.21,-3.35%,1.59%,-0.42%,-2.40%,0.05%
SQ,SQ,101.93,101.93,13555340.0,281.81,88.72,-63.83%,-36.89%,-6.37%,-9.67%,4.53%
SUSHI-USD,SUSHI-USD,2.93,2.93,112846128.0,22.91,2.89,-87.19%,-68.94%,-1.62%,-24.72%,1.68%
TECS,TECS,43.88,43.88,2340971.0,4071500.00,26.72,-100.00%,56.88%,5.10%,38.73%,-1.02%
TSLA,TSLA,795.35,795.35,22002495.0,1229.91,643.38,-35.33%,-24.74%,-5.12%,-14.66%,-1.15%
TSM,TSM,101.41,101.41,12218875.0,140.66,99.29,-27.90%,-15.71%,-2.45%,-19.21%,2.14%
TTD,TTD,56.80,56.80,7693993.0,111.64,56.80,-49.12%,-38.02%,-9.88%,-28.95%,-14.08%
TUR,TUR,18.36,18.36,143326.0,78.76,17.11,-76.69%,-1.18%,0.27%,-10.04%,-0.49%
TWLO,TWLO,132.48,132.48,4869764.0,443.49,132.48,-70.13%,-49.69%,-5.95%,-34.42%,-5.37%
TZA,TZA,35.85,35.85,11663243.0,1349184.00,22.12,-100.00%,32.58%,4.70%,11.30%,-4.88%
U,U,78.86,78.86,3161184.0,201.12,78.86,-60.79%,-44.85%,-5.13%,-31.73%,-3.59%
UNI-USD,UNI-USD,0.00,0.00,4.0,0.02,0.00,-99.59%,-43.98%,-1.44%,-2.67%,2.45%
UPST,UPST,100.08,100.08,13255089.0,390.00,90.13,-74.34%,-33.85%,-11.20%,-10.87%,-11.04%
V,V,196.71,196.71,5229499.0,250.93,190.16,-21.61%,-9.23%,-0.64%,-14.80%,3.15%
VALE,VALE,19.07,19.07,26732621.0,43.91,11.27,-56.57%,36.02%,-1.24%,8.91%,-7.43%
VAW,VAW,180.80,180.80,103120.0,197.26,173.00,-8.34%,-8.17%,-0.82%,-3.42%,2.01%
VDE,VDE,106.63,106.63,2980844.0,145.60,63.79,-26.77%,37.39%,-0.92%,12.21%,0.24%
VLDR,VLDR,2.12,2.12,19155445.0,30.43,2.00,-93.03%,-54.31%,6.00%,-48.29%,-3.64%
